00003431-v	B	L	berkembut-kembut
00003431-v	B	L	berlompang
00003431-v	B	L	berpulun-pulun
00003431-v	B	L	bola-bola air
00003431-v	B	L	buih
00003431-v	B	L	busa
00003431-v	B	L	decuh
00003431-v	B	L	decuh-decah
00003431-v	B	L	gelembung
00003431-v	B	L	gelembung udara
00003431-v	B	L	gerecak
00003431-v	B	L	gerobok
00003431-v	B	L	gerocok
00003431-v	B	L	membelahak
00003431-v	B	L	mengeluarkan berkepul-kepul
00003431-v	B	L	menjeluak
00003431-v	B	L	mulut jelabas
00003431-v	B	L	pembuihan
00003431-v	B	L	ruap
00003431-v	B	M	sendawa
00003431-v	B	M	tahak
00003431-v	B	O	bergerobok
00003431-v	B	O	bersenang-senang
00003431-v	B	O	bertahak
00003431-v	B	O	betahak
00003431-v	B	O	menggelegak
00003431-v	B	O	menggelembung
00003431-v	B	O	menggerobok
00003431-v	I	O	bergelegak
00003431-v	I	X	tersendawa
00003431-v	M	O	bersendawa
00003483-r	B	M	pertama-tama
00003483-r	B	M	secara pokoknya
00003483-r	B	X	pada asasnya
00003483-r	B	X	pada dasarnya
00003483-r	B	X	pada hakikatnya
00003483-r	B	X	terutama sekali
00003483-r	M	X	pd asasnya
00003483-r	M	X	pd dasarnya
00003553-a	B	L	bentuk
00003553-a	B	L	bertimbulan
00003553-a	B	L	kemunculan
00003553-a	B	L	menjadi
00003553-a	B	L	muncul
00003553-a	B	L	pembentukan
00003553-a	B	L	timbul
00003553-a	B	X	baru berkembang
00003553-a	B	X	baru muncul
00003553-a	B	X	mula tumbuh
00003553-a	I	X	hadir dalam kenyataan
00003553-n	B	L	baru tadi
00003553-n	B	L	bersama
00003553-n	B	L	betul-betul
00003553-n	B	L	ensembel
00003553-n	B	L	entiti
00003553-n	B	L	habis
00003553-n	B	L	himpunan
00003553-n	B	L	iras
00003553-n	B	L	keseluruhan
00003553-n	B	L	keseluruhannya
00003553-n	B	L	kesemua
00003553-n	B	L	kotah
00003553-n	B	L	mengambil semua
00003553-n	B	L	merata-rata
00003553-n	B	L	sama sekali
00003553-n	B	L	satuan
