synset_id,lang,goodness,lemma
00008435-v,B,O,mengejapkan
00008435-v,B,O,terembut-rembut
00008435-v,I,O,berkejap
00008600-r,B,O,belaka
00008600-r,B,O,cuma
00008600-r,B,O,hanya
00008600-r,B,O,melulu
00008600-r,B,O,sahaja
00008600-r,B,O,semata-mata
00008600-r,B,O,sendiri
00008600-r,B,O,sendirian
00008602-v,I,O,menyipitkan
00008799-v,B,O,kerlingan
00008997-r,B,O,betul-betul
00009147-v,B,O,bersalin
00009147-v,B,O,gugur
00009147-v,B,O,luruh
00009147-v,B,O,mencucurkan
00009147-v,B,O,menggugurkan
00009147-v,B,O,meranggas
00009147-v,B,O,rontok
00009147-v,B,O,tanggal
00009373-r,B,O,bersih
00009373-r,B,O,betul-betul
00009373-r,B,O,langsung
00009373-r,B,O,tepat
00009492-v,B,O,melocot
00009631-v,B,O,menggeletik
00009631-v,B,O,menggeletis
00009631-v,B,O,menggerenyet
00009631-v,B,Y,gerenyet
00009631-v,B,Y,geronyot
00009631-v,B,Y,kekejangan
00009631-v,B,Y,sentak
00009631-v,B,Y,temut-temut
00009631-v,B,Y,tersentak
00009631-v,I,O,sentakan
00009859-r,B,O,tepat
00009966-r,B,O,kiranya
00009966-r,B,O,sila
00009966-r,B,Y,silakan
00009978-a,B,O,lahap
00009978-a,B,O,pajuh
00010047-r,B,O,tersalah
00010435-v,B,O,beraksi
00010435-v,B,O,berbuat
00010435-v,B,O,berlaku
00010435-v,B,O,bertindak
00010435-v,B,O,bertingkah
00010435-v,B,O,melakukan
00010435-v,B,O,mengakok
00010435-v,B,Y,berperangai
00010435-v,B,Y,bersifat
00010435-v,B,Y,bersikap
00010435-v,B,Y,kelakuan
00010435-v,B,Y,tindak
00010435-v,I,O,berulah
00010726-a,B,O,pelahap
00010726-a,B,O,rakus
00011093-r,B,O,baik
00011093-r,B,O,baik-baik
00011160-a,B,O,gelojoh
00011160-a,B,O,lahap
00011160-a,B,O,rakus
00011327-a,B,O,pelahap
00011361-v,B,O,meminta-minta
00011361-v,B,O,memohon
00011361-v,B,O,mengemis
00011516-r,B,O,compang-camping
00011551-v,B,O,mengira
00011698-v,B,O,kasar
00011757-a,B,O,mujarad
00011757-a,B,Y,abstrak
00011757-a,B,Y,niskala
00012129-r,B,O,baik
00012137-v,B,O,membahayakan
00012137-v,B,O,mengancam
00012267-v,B,O,membuat
00012267-v,B,O,mencipta
00012267-v,B,O,mendapatkan
00012362-a,B,O,konsepsi
00012434-v,B,O,menggertak
00012531-r,B,O,wah
00012613-v,B,O,kaku
00012753-v,B,O,sewenang-wenang
00012854-v,B,O,romantis
00012932-a,B,O,ideologi
00012932-a,B,O,kepercayaan
00012944-v,I,O,sentimentil
00013160-a,B,Y,berwujud
00013160-a,B,Y,maujud
00013160-a,B,Y,nyata
00013236-r,B,O,buruk
00013236-r,B,O,malang
00013328-v,B,O,bermain
00013328-v,B,O,main
00013328-v,B,O,memetik
00013328-v,B,O,mempersembahkan
00013328-v,B,O,mempertontonkan
00013328-v,B,Y,bermain-main
00013328-v,I,O,main-main
00013442-a,B,O,benar
00013442-a,B,O,objektif
00013615-v,B,O,berbuat
00013615-v,B,O,berkesan
00013615-v,B,O,bermain-main
00013615-v,B,O,berpura-pura
00013615-v,B,O,bertingkah
00013615-v,B,O,memetik
00013615-v,B,O,mempertontonkan
00013615-v,B,O,terjadi
00013615-v,I,O,berperan
00013615-v,I,O,berulah
00013615-v,I,O,main-main
00013626-r,B,O,wah
00013793-r,B,O,wah
00013887-a,B,O,berlebih-lebih
00013887-a,B,O,berlimpah-limpah
00013887-a,B,O,lebat
00013887-a,B,O,suki
00013887-a,B,Y,banyak
00013887-a,B,Y,kaya
00013887-a,B,Y,limpah
00013887-a,B,Y,melacak
00013887-a,B,Y,murah
00013887-a,I,O,lacak
00014034-v,B,O,bergetar
00014034-v,B,O,bergoyang
00014034-v,B,O,menggeletar
00014034-v,B,O,menggeligis
00014034-v,B,O,menggempakan
00014034-v,B,O,menggentarkan
00014034-v,B,O,menggigil
00014034-v,B,O,menggoyang
00014034-v,B,O,menghinggut
00014034-v,I,O,bergempa
00014034-v,I,O,bergoyang-goyang
00014034-v,I,O,mengopyok
00014201-v,B,O,bergidik
00014201-v,B,O,gementar
00014201-v,B,O,meligih
00014201-v,B,O,menggecarkan
00014201-v,B,O,menggeligis
00014201-v,B,Y,geligis
00014201-v,B,Y,gelugut
00014201-v,B,Y,gemelugut
00014201-v,B,Y,gigih
00014201-v,B,Y,menggeletar
00014201-v,B,Y,menggigil
