post_id,created_at,username,text,parent_comment_id
DPLHwIlE0ry,2025-09-29 17:55:10 WIB,dio50294,"['sampa', 'kapan', 'airnya', 'bisa', 'hidup', '?']",
DPLHwIlE0ry,2025-09-29 17:58:55 WIB,pemain_sosmed,"['gmn', 'perkembangannya', 'udah', 'nyala', 'belum', 'airnya']",
DPLHwIlE0ry,2025-09-29 18:04:29 WIB,_irwanfachri_,"['gerak', 'cepat', 'atau', 'hehehe']",
DPLHwIlE0ry,2025-09-29 18:21:48 WIB,denok197_,"['sue', 'neee', 'rekkkk', 'mosok', 'smpe', '<num> dino', 'ikiiiii', 'pasukane', 'di', 'tambah', 'ngunu', 'lo', 'ndang', 'mari', 'ndang', 'wes']",
DPLHwIlE0ry,2025-09-29 18:27:53 WIB,ristoys,"['wes', '<num>', 'dino', 'gak', 'mari <num>', 'tukuo', 'alat', 'seng', 'canggih', 'nak', 'cino', 'ae', 'cek', 'cepet', 'mari', 'lelet', 'dendo', 'ae', 'cepet', 'kali <num>', 'lipat']",
DPLHwIlE0ry,2025-09-29 18:34:03 WIB,khusniatur_rohma,"['please', 'pdam', 'klo', 'perbaikan', 'gak', 'beres <num>', 'gini', 'tangki', 'air', 'nya', 'gercep', 'gk', 'ush', 'nggu', 'pelanggan', 'tlp', 'dlu', 'lah', 'lgs', 'menuju', 'alamat', 'pelanggan', 'masak', 'gda', 'database', 'alamat', 'skrg', 'pada', 'tlp', 'cs', 'aja', 'susah', 'sibuk', 'trus']",
DPLHwIlE0ry,2025-09-29 18:37:33 WIB,rrydwnt,"['belum', 'nyala', 'air', 'nyaa', 'pak']",
DPLHwIlE0ry,2025-09-29 18:44:33 WIB,elruminara,"['iki', 'mlaku', 'nak', 'dalan', 'wes', 'dikiro', 'arek', 'punk']",
DPLHwIlE0ry,2025-09-29 18:58:02 WIB,rufpoguwi89,['setuju'],
DPLHwIlE0ry,2025-09-29 19:10:43 WIB,hanisusant0,"['terus', 'gimana', '?', 'telfon', 'call', 'center', 'gabisa', 'wa', 'juga', 'ga', 'ada', 'respon', 'kelanjutan', 'tangki', 'air', 'ga', 'mau', 'nyamperin', 'pelanggan', 'kita', 'disuruh', 'sabar', '?', 'mandi', 'pake', 'sabar', '?', '?', '?']",
DPLHwIlE0ry,2025-09-29 19:30:05 WIB,nabilamirzasisy,"['semoga', 'cepat', 'selesai', 'ya', 'pak', 'ini', 'sudah', '<num>', 'hari', 'air', 'nya', 'tidak', 'menyala']",
DPLHwIlE0ry,2025-09-29 19:39:29 WIB,nabilamirzasisy,"['kapan', 'selesai', 'nya', 'ini', 'udah', '<num>', 'hari', 'lo', 'semoga', 'malam', 'ini', 'air', 'nya', 'nyala']",
DPLHwIlE0ry,2025-09-29 19:41:43 WIB,nisaalinisa,"['alhmdulillah', 'air', 'sudh', 'nyala', 'trimksih', 'bnyak', 'mulai', 'dr', 'bantuan', 'air', 'tangki', 'gratis', 'nya', 'dan', 'bekerja', 'demi', 'kita', 'smua', 'smoga', 'para', 'pekerja', 'sehat', 'wal', 'afiat', 'dna', 'selalu', 'dlm', 'lindungan', 'allah', 'trimksih']",
DPLHwIlE0ry,2025-09-29 12:48:14 WIB,efendi_ashari,"['ayo', 'pak', 'semangat']",
DPLHwIlE0ry,2025-09-29 12:52:10 WIB,bekoolrock,"['pengajuan', 'baru', 'lama', 'antri', 'survey', 'brapa', 'hari', '?']",
DPLHwIlE0ry,2025-09-29 13:06:37 WIB,prayogi_0383,"['waduh', 'gak', 'mari <num>', 'sampai', 'gak', 'adus', 'gak', 'sikatan', '<num>', 'hari', 'iki', 'untung', 'e', 'sik', 'onok', 'tissu', 'tara', 'risu', 'gae', 'membasuh', 'gak', 'onok', 'kiriman', 'tangki', 'lah', 'piye', 'tonggoe', 'duwe', 'tandon', 'kabeh', 'njalok', 'kiriman', 'dewe', 'gak', 'dilayani', 'lah', 'wong', 'sak', 'tangki', 'gae', '<num> <num>', 'rumah']",
DPLHwIlE0ry,2025-09-29 13:07:31 WIB,prayogi_0383,"['wawik', 'e', 'gae', 'tissu', 'dhisik', 'dhulur', 'engkok', 'nek', 'wes', 'onok', 'banyu', 'baru', 'wawik']",
DPLHwIlE0ry,2025-09-29 13:07:52 WIB,meida_r_imani,"['dapat', 'info', 'dari', 'grup', 'rt', 'estimasi', 'air', 'nyala', 'jm', '<num>', 'bengi', 'tangki', 'air', 'keliling', 'baru', 'datang', 'pas', 'nang', 'omah', 'g', 'ono', 'wong', 'lanang', 'sing', 'angkat <num>', 'moso', 'bumil', 'iki', 'angkat <num>', 'dw']",
DPLHwIlE0ry,2025-09-29 13:08:32 WIB,andry_sr,"['semangat', 'buat', 'bapak', 'dan', 'ibu', 'pdam', 'yg', 'bertugas', 'semoga', 'pekerjaan', 'nya', 'lancar', 'dan', 'airnya', 'bisa', 'mengalir', 'kembali']",
DPLHwIlE0ry,2025-09-29 13:13:56 WIB,dedypujiharianto,"['kpn', 'ya', 'min', 'bs', 'normal', 'kembali', 'ini', 'sdh', 'hari', 'kedua', 'serta', 'sdh', 'krisis', 'air']",
DPLHwIlE0ry,2025-09-29 13:14:46 WIB,annisarosyidah_,"['sing', 'nduwe', 'tandonpun', 'wes', 'podo', 'entek', 'mbak', 'banyune']",
DPLHwIlE0ry,2025-09-29 13:17:56 WIB,carolusbagas,"['pak', 'saran', 'kalau', 'mesti', 'ngumpulin', '<num>', 'kk', '-', '<num>', 'kk', 'susah', 'karena', 'banyak', 'yg', 'kerja', 'rumahbkosong', 'mending', 'keliling', 'nawari', 'stiap', 'lokasi', 'tangki', 'air', 'gratisnya']",
DPLHwIlE0ry,2025-09-29 13:29:25 WIB,yr_fixcell,"['kapan', 'metu', 'banyu', 'eket', 'wingi', 'gk', 'metudrong', 'ados', 'ket', 'wingimasak', 'gk', 'nok', 'banyu', 'eawakk', 'boss']",
DPLHwIlE0ry,2025-09-29 13:38:16 WIB,stayoddbutgold,['preketek'],
DPLHwIlE0ry,2025-09-29 13:39:09 WIB,mwllyyaa.h,"['padahal', 'dari', 'jam', 'sabtu', 'jam', '<num>', 'udah', 'bocorr']",
DPLHwIlE0ry,2025-09-29 13:44:06 WIB,annisarosyidah_,"['<num>', 'dino', 'adus', 'banyu', 'galon', 'ruekkk']",
DPLHwIlE0ry,2025-09-29 13:51:06 WIB,rudih_azza,"['utk', 'teknis', 'kt', 'tdk', 'tau', 'sperti', 'apa', 'bpk', 'pdamyg', 'terpenting', 'secepatnya', 'terselesaikan', 'air', 'mengalir', 'dgn', 'normal', 'krn', 'kmrn', 'info', 'estimasi', '<num>', 'jam', 'tp', 'mbleset', 'kasihan', 'kt', 'pelanggan', 'jd', 'korban', 'smangat', 'tmn <num>', 'pdam']",
DPLHwIlE0ry,2025-09-29 13:52:00 WIB,izzatulmillahh,"['menyala', 'galonn']",
DPLHwIlE0ry,2025-09-29 13:52:53 WIB,izzatulmillahh,"['kerakan', 'semua', 'pasukan', 'pakk', 'biar', 'segera', 'selesaii']",
DPLHwIlE0ry,2025-09-29 13:58:57 WIB,ipit_queen,"['ndang', 'cepet', 'selesai', 'nggeh', 'gak', 'bs', 'mandi', 'kmrn', 'check', 'in', 'hotel']",
DPLHwIlE0ry,2025-09-29 14:06:06 WIB,sirikityulian,"['semoga', 'malam', 'sdh', 'bisa', 'selesai']",
DPLHwIlE0ry,2025-09-29 14:19:08 WIB,kartika_dewi_wibi_s,"['saya', 'juga', 'pendaftar', 'barualhamdulillah', 'sudah', 'realisasi', 'unt', 'surbey', '-', '<num>', 'smp', '<num>', 'harian']",
DPLHwIlE0ry,2025-09-29 14:24:34 WIB,bekoolrock,"['status', 'sudah', '``', 'antri', 'survey', ""''"", 'apakah', 'saya', 'berhak', 'mengikuti', 'promo', 'biaya', 'pasang', 'baru', '?', 'promo', 'berakhir', 'pada', '<num>', 'sep']",
DPLHwIlE0ry,2025-09-29 14:26:10 WIB,kartika_dewi_wibi_s,"['tetap', 'semangat', 'team', 'pdam', 'surabaya', 'selalu', 'diparingii', 'sehat']",
DPLHwIlE0ry,2025-09-29 15:14:24 WIB,rifaldo_arief,"['lek', 'sekirane', 'gk', 'mampu', 'nyeluk', 'enginer <num>', 'luar', 'negeri', 'ae']",
DPLHwIlE0ry,2025-09-29 15:49:41 WIB,tegar_kuncoro_adhi,"['<num>', 'dino', 'banyu', 'gak', 'metu', 'pak', 'dino', 'iki', 'mari', 'gak', '?']",
DPLHwIlE0ry,2025-09-29 16:09:26 WIB,albani.r.s,"['deadline', 'brapa', 'hari', 'ini', '?']",
DPLHwIlE0ry,2025-09-29 16:27:44 WIB,just_abi_maliq,"['yang', 'kami', 'minta', 'selaku', 'warga', 'surabayapenduduk', 'daerah', 'pakal', 'sekitarnya', '?', 'kamiminta', 'tolong', 'segera', 'cepat', 'selesai', 'karena', 'info', 'kemarin', 'estimasi', 'sampai', '<num>', 'jam', 'kenyataannya', 'sampai', 'pagi', 'hari', 'ini', 'belom', 'keluar', 'airnya', 'sepengetahuan', 'saya', 'daerah', 'pakalrejosari', 'selalu', 'rutin', 'mati', 'pdam', 'nyayg', 'berumah', 'tangga', 'ga', 'bisa', 'mandimasak', 'air', 'dll']",
DPLHwIlE0ry,2025-09-29 16:31:54 WIB,abdul_rahman_amank,"['sdh', 'bisa', 'ta', 'air', 'pdam', 'nya', '?']",
DPLHwIlE0ry,2025-09-29 16:33:35 WIB,yanidj_94,"['sdh', 'selesai', 'apa', 'belum', 'kenapa', 'belum', 'ada', 'info']",
DPLHwIlE0ry,2025-09-29 16:40:44 WIB,agnes_vindyanti91,"['sudah', 'selesai', 'ta', 'minsudah', '<num>', 'hari', 'ini', 'gk', 'ada', 'air', 'sama', 'sekali']",
DPLHwIlE0ry,2025-09-29 16:44:14 WIB,dhs.babykids,"['update', 'terbaru', 'dong', 'min', 'apa', 'sudah', 'ada', 'progres', '?']",
DPLHwIlE0ry,2025-09-29 16:45:39 WIB,radilaaisha99,"['estimasi', 'berapa', 'lama', 'lagi', 'perbaikannya', '?', '?']",
DPLHwIlE0ry,2025-09-29 16:52:48 WIB,veelovee99,"['iya', 'mana', 'cuaca', 'panas', 'bawaan', 'pengen', 'maen', 'aer', 'mulu', 'semoga', 'air', 'ngalir', 'deres', 'aamiin']",
DPLHwIlE0ry,2025-09-29 12:09:58 WIB,coucou.pookie,"['ayok', 'bapakk', 'dan', 'tim', 'semangat', 'semoga', 'sore', 'ini', 'sudah', 'lancarrrr']",
DPLHwIlE0ry,2025-09-29 12:10:18 WIB,keen.an2426,"['ku', 'harap', 'hari', 'ini', 'bisa', 'nyala', 'airnya']",
DPLHwIlE0ry,2025-09-29 12:13:54 WIB,bagus_arlang,['semangat'],
DPLHwIlE0ry,2025-09-29 12:14:28 WIB,widyarigga,"['semangat', 'bapak', 'dan', 'ibu', 'pdam', 'semoga', 'airnya', 'bisa', 'ngalir', 'hari', 'ini']",
DPLHwIlE0ry,2025-09-29 12:14:31 WIB,nurfaridah_ayik,"['alhamdulillah', 'sedikit', 'terbantu', 'dg', 'datangnya', 'tangki', 'air', 'gratis', 'semoga', 'segera', 'teratasi', 'g', 'tega', 'juga', 'tadi', 'pagi', 'berangkat', 'sekolah', 'banyak', 'pekerja', 'yg', 'kelelahan', 'sampai', 'tidur', 'di', 'pinggir <num>', 'jalan', 'terimakasih', 'dedikasinya', 'bapak', 'semoga', 'segera', 'teratasi']",
DPLHwIlE0ry,2025-09-29 12:16:15 WIB,hanifahdillah,"['semoga', 'hari', 'ini', 'bisa', 'keluar', 'airnya', 'wes', 'gak', 'adus', 'ket', 'wingi', 'iki', 'pak']",
DPLHwIlE0ry,2025-09-29 12:16:57 WIB,dena_rabbani,"['prediksinya', 'kapan', 'bisa', 'selesai', 'ya', 'pakdan', 'bisa', 'dialirkan', 'kembali', 'airnya', '?']",
DPLHwIlE0ry,2025-09-29 12:17:26 WIB,paapoolooh,"['proyek', 'pipa', 'jl', 'pucang', 'anom', '-', 'dharmawangsa', 'kapan', 'selesai', 'sdh', '<num>', 'bulan', 'hanya', 'ditutupi', 'saja', 'gak', 'ada', 'giat', 'nya']",
DPLHwIlE0ry,2025-09-29 12:24:12 WIB,mauraindahhh,"['kapan', 'min', 'airnya', 'nyala', 'udh', 'krisis', 'air', 'ini']",
DPLHwIlE0ry,2025-09-29 12:24:22 WIB,bund_bund_ar,"['semangat', 'bapak <num>', 'yg', 'bertugas', 'semoga', 'pengerjaan', 'lancar', 'dan', 'segera', 'selesai']",
DPLHwIlE0ry,2025-09-29 12:24:25 WIB,mauraindahhh,"['sama', 'mbk']",
