text
"['selamat', 'ulang', 'tahun', 'ke36', 'harian', 'surya', 'semoga', 'terus', 'menjadi', 'sumber', 'informasi', 'terpercaya', 'dan', 'inspiratif', 'bagi', 'masyarakat', 'terima', 'kasih', 'juga', 'atas', 'kolaborasi', 'positif', 'bersama', 'perumda', 'air', 'minum', 'surya', 'sembada']"
"['selalu', 'menjalin', 'kerjasama', 'yg', 'baik', 'dgn', 'media', 'keren']"
"['selamatt', 'dan', 'semangattt', 'indonesiaku']"
"['dm', 'ku', 'ga', 'dibales', 'kak']"
"['salam', 'buat', 'tim', 'spi', 'min']"
"['ini', 'kenapa', 'lagi', 'surabaya', 'barat', 'daerah', 'ptc', 'airnya', 'tiba2', 'mati', 'parah', 'banget', 'udah', 'kecil', 'mati', 'pula']"
"['waalaikumussalam', 'bang', 'aziz']"
"['udah', 'nyala', 'kemarin', 'jam', '9', 'mlm', 'an']"
"['sehat', 'selalu', 'min']"
"['dm', 'ku', 'direspon', 'dong', 'kak']"
"['maaf', 'nanya', 'agak', 'gak', 'paham', 'min', 'ini', 'harga', 'untuk', 'pemasangan', 'pdam', 'kan', 'min']"
"['maw', 'rame', 'nih', 'kdm', 'min']"
"['min', 'pdam', 'jalan', 'gresik', 'mati', 'gimana', 'ini']"
"['petugas', 'wilayah', 'ploso', 'timur', '3b', 'itu', 'tolong', 'di', 'sp', 'udah', 'beberapa', 'kali', 'cara', 'cek', 'airnya', 'itu', 'macam', 'preman', 'cara', 'ngetuk', 'pagar', 'ugal2anbawa', 'kayu', 'pentungan', 'macam', 'preman', 'naik', 'pagar', 'tetangga', 'depan', 'saya']"
"['udah', 'beberapa', 'kali', 'ngirim', 'komplain', 'langsung', 'harusnya', 'udah', 'dipecat', 'itu', 'petugas']"
"['terimakasih', 'banyak', 'min']"
"['min', 'pbi', 'pondok', 'benowo', 'indah', 'pdam', 'nya', 'gak', 'keluar', 'gmn', 'ini']"
"['pbi', 'mati', 'lagi', 'baru', 'nyalah', 'lancar', 'ga', 'sampai', '10', 'hari', 'mati', 'lagi']"
"['min', 'griya', 'citra', 'asri', 'pdam', 'mengecil', 'dr', 'kemarin', 'pagi', 'sampai', 'skrg', 'kenapa', 'ya']"
"['hallo', 'min', 'saya', 'coba', 'daftar', 'lewat', 'website', 'kok', 'internal', 'server', 'error', 'yaa', 'kalo', 'daftar', 'lewat', 'website', 'apakah', 'juga', 'dapet', 'promo', 'diskon']"
