username,text
inces_runy,"['halo', 'min', 'bulan', 'ini', 'saya', 'bayar', 'pdam', 'tapi', 'kok', 'ada', 'dendatunggakan', 'pdhal', 'oktober', 'sudah', 'saya', 'bayar', 'lohh', 'tagihan', 'cuma', '21rb', 'dendanya', '28rb', 'denda', 'apa', 'iniudah', 'laporan', 'ke', 'watsap', 'surya', 'sembada', 'gak', 'diresponudah', 'kasih', 'bukti', 'bayar', 'oktober', 'november']"
futureman850,"['min', 'galianmu', 'pemeliharaan', 'pipa', 'seng', 'dikerjakno', 'rekanan', 'daerah', 'pertigaan', 'depan', 'depo', 'lokomotif', 'sidotopo', 'nggarakno', 'truk', 'keblowok', 'trus', 'mau', 'bengi', 'yo', 'onok', 'tabrakan', 'daerah', 'kunu', 'betul', 'seh', 'wes', 'onok', 'pagaer', 'kayu', 'dan', 'tandae', 'mbok', 'yo', 'ojok', 'suwe', 'suwe', 'proyekee', '2', 'bulan', 'lebih', 'gk', 'mari', 'mari']"
inces_runy,"['siappsudah', 'saya', 'dm', 'min']"
panggilnaw,"['dm', 'ku', 'kok', 'ga', 'dibales', 'kaka']"
shelomitaayr,"['knp', 'pdam', 'air', '3', 'hati', 'kecil', 'ngalirnya', 'tlg', 'di', 'benahi']"
shelomitaayr,"['kebraon', 'pak', 'saya', 'jadi', 'susah', 'beraktivitas']"
ifa8416,"['masih', 'berlaku', 'gak', 'min']"
andini_rahmadwiandini,"['stelah', 'persyaratan', 'lengkap', 'berapa', 'lama', 'proses', 'pemasangan', 'nya']"
ibuk.acid,"['karah', 'kenapa', 'mati', 'lagi', 'airnyajam', 'segini', 'lho', 'gak', 'ada', 'pemberitahuan', 'moso', 'harus', 'tayamum']"
alicee.veronaaa,"['saya', 'pengajuan', 'tgl', '5', 'sept', 'baru', 'keluar', 'rincian', 'tgl', '30', 'septitupun', 'kok', '1750000', 'blm', 'saya', 'bayar', 'batas', 'byr', 'smp', '30', 'oktober', 'knp', 'tdk', 'ikut', 'hrg', 'promo', 'pdhal', 'agust', 'smp', '30', 'sept', 'ada', 'promo', 'jg']"
alicee.veronaaa,"['saya', 'dm', 'ya', 'kak']"
irma.vidy,"['rungkur', 'industri', 'airnya', 'mati']"
supri.mundo,"['pdam', 'airnya', 'keruhbos']"
ichsanguntur,"['kertjaya', '13c', 'kok', 'mengecil', 'pak', 'airnya', 'tidak', 'seperti', 'biasanya']"
superdeden_,"['karang', 'menjangan', 'susah', 'air', 'boss']"
raatihangraenii,"['ini', 'kenapa', 'tagihan', 'pdam', 'melonjak', 'drastiss']"
roymarten,"['pdam', 'wonorejo', 'rungkut', 'kok', 'mati']"
novia.turrachmah,"['min', 'pengaduan', 'kok', 'ga', 'digubris', 'ya', 'cs', 'cuma', 'iya2', 'aja', 'tp', 'gaada', 'petugas', 'yg', 'dateng', 'air', 'mati', 'udah', 'berhari2', 'krn', 'meterannya', 'bocor', 'awalnya', 'ga', 'kenapa2', 'habis', 'diganti', 'meteran', 'malah', 'bermasalah']"
mam_tutz,"['info', 'gangguan', 'air', 'wilayah', 'babat', 'jerawat', 'bawah', 'pondok', 'benowo', 'indah']"
diska_kristiani,"['lapor', 'pdam', 'gara2', 'banyu', 'ket', 'jumat', 'jam', '9', 'sampe', 'iki', 'mau', 'jam', '145', 'bengiii', 'lagek', 'nyala', 'ak', 'terpaksa', 'g', 'turu', 'howo', 'panasss', 'badan', 'pliket', 'kabehhh', 'nyala', 'langsung', 'mandi', 'isi', 'semua', 'bak', 'air', 'umbah2', 'jam', '3', 'subuhhh', 'yahmene', 'lagek', 'ape', 'turu', 'bossss']"
quinthariarh,"['katanya', 'perbaikan', 'sudah', 'selesai', 'tapi', 'kenapa', 'air', 'gak', 'nyala', 'apa', 'sudah', 'menjadi', 'rutinitas', 'pdam', 'setiap', 'wekeend', 'air', 'gak', 'nyala', '‼']"
irwanagatot,"['ini', 'jl', 'juwingan', 'air', 'nya', 'mati', 'gak', 'ada', 'info', 'mohon', 'infonya', 'sampai', 'kapan', 'mati']"
elmidwi_hartanti,"['info', 'sampek', 'tgl', 'brp', 'promo', 'nya']"
irishcartenz8,"['karah', 'air', 'mati', 'lagi', 'knp', 'min', 'pas', 'nggak', 'punya', 'air']"
kokobramiko,"['ruwet', 'wes', 'mbayar', 'gak', 'dipasangpasang', 'wes', 'meh', 'sebulan']"
hameedaa71,"['mau', 'daftar', 'pasang', 'pdam', 'gimana', 'daftarnya']"
rafikaiffah,"['knp', 'pdam', 'air', 'belum', 'normal', 'ini', 'sudah', 'satu', 'mingguan', 'inipagi', 'gak', 'nyala', 'wonorejo', 'manukan', 'kulon']"
rizamuhammad260491,"['woeee', 'lidah', 'kulon', 'banyu', 'ne', 'matek', 'sedinoan']"
rizamuhammad260491,"['terus', 'ini', 'ga', 'ada', 'perbaikanmati', 'mulai', 'kemarin', 'malam', 'lohh']"
april.liatri,"['pdam', 'yang', 'terbaik', 'kenapa', 'air', 'saya', 'selalu', 'keruh', 'dan', 'bau', 'nya', 'kayak', 'air', 'airnya', 'bagus', 'hanya', 'di', 'jam', 'jam', 'tertentu', 'saya', 'sudah', 'pengajuan', 'complain', 'tapi', 'pas', 'di', 'cek', 'airnya', 'bersih', 'pas', 'saya', 'isi', 'di', 'jam', 'pagi', 'aja', 'semisal', 'airnya', 'bau', 'keruh', 'gimana', 'dong', 'pdam', 'saya', 'harus', 'mengadu', 'ke', 'siapa', 'dong', 'petugasnya', 'mungkun', 'sampek', 'bosen', 'tiap', 'hari', 'kerumah']"
bakulgedangsusu,"['kebraon', 'banyune', 'mateek', 'caakkk']"
karunia_ayu_mukti,"['paaakkleekk', 'kebraon', 'airnya', 'matiii']"
inggit_putri18,"['kok', 'mati', 'lagi', 'pdam', 'kebraondan', 'seperti', 'bisa', 'ga', 'ad', 'pemberitahuan']"
mayarini29,"['di', 'karah', 'airny', 'mati', 'ada', 'ap', 'yaaaaduuuh', 'efek', 'gorong²', 'ini', 'bikin', 'sedih', 'masak', 'dua', 'minggu', 'ini', 'gantian', 'yo', 'air', 'yo', 'wifi', 'moro', 'mati', 'trus']"
susii_lowati19,"['saya', 'ngajukan', 'dari', 'tanggal', '22', 'september', 'sampai', 'sekarang', 'masih', 'blm', 'ada', 'pemasangan', 'sudah', '19', 'hari', 'masih', 'blm', 'ada', 'pemasangan']"
susii_lowati19,"['padahal', 'kata', 'petugas', 'nya', 'waktu', 'saya', 'ngumpulin', 'berkas', 'menginfokan', 'semingguan', 'untuk', 'pemasangan', 'nya']"
sawnturns,"['kebraonnn', 'mati', 'airnyaa', 'pakkk']"
handokomulyoadi,"['pdam', 'nok', 'kampung', 'candi', 'kuwukan', 'baru', 'metu', 'e', 'dalu', 'dalu', 'yo', 'kudu', 'melek', 'bendino', 'ket', 'masang', 'ga', 'tau', 'isok', 'ngerasakno', 'banyu', 'mancur', 'teko', 'kran', 'ya', 'opo', 'min', 'ben', 'laporan', 'ga', 'tau', 'onok', 'hasil', 'e', 'karo', 'solusi', 'e', 'di', 'janjikan', 'tok', 'sampe', 'sak', 'iki', 'yo', 'pancet', 'ae', 'ga', 'onok', 'perkembangan', 'e']"
