username,text
rizkimaulana2338,"['kak', 'pam', 'nya', 'udah', 'ada', 'sistem', 'prabayar', 'kak']"
trinity.collect,"['mohon', 'info', 'kalau', 'pengaduan', 'karena', 'kena', 'pinalty', 'kemana']"
gigihmulyo,"['halo', 'min', 'dm', 'saya', 'sudah', 'ditanggapi', 'tapi', 'ga', 'ada', 'action', 'sama', 'sekali', 'dari', 'pihak', 'pdam', 'udah', 'dr', 'hari', 'sabtu', 'smpe', 'skrng']"
gigihmulyo,"['dari', 'sabtu', 'lo', 'min', 'responnya', 'hanya', 'seperti', 'chat', 'template', 'saja']"
solihinsoul1,"['min', 'tolong', 'dikurangi', 'dong', 'kapuritnya', 'di', 'daerah', 'rungkut', 'tengah', 'airnya', 'bau', 'kaporit', 'mau', 'buat', 'masak', 'malah', 'harus', 'beli', 'isi', 'ulang', 'tolong', 'ya', 'min', 'untuk', 'ditindak', 'lanjuti']"
nikengyna_,"['halo', 'daerah', 'jl', 'tapak', 'siring', 'debit', 'airnya', 'mengecil', 'shg', 'tidak', 'bisa', 'naik']"
silvy_oktaviyani,"['pak', 'tolong', 'disosialisasikan', 'sebenarnya', 'visi', 'dan', 'misi', 'pdam', 'itu', 'apacoba', 'cek', 'target', 'tahun', '2025', 'apa', 'kalau', 'saya', 'sebagai', 'warga', 'surabaya', 'punya', 'harapan', 'pdam', 'bisa', 'menyala', '24', 'jam', 'tanpa', 'pompa', 'air', 'dan', 'sampai', 'lantai', '2', 'untuk', 'seluruh', 'warga', 'surabayajangan', 'seperti', 'skrng', 'perumahan', 'digunung', 'anyar', 'bisa', 'nyala', '24', 'tanpa', 'pompa', 'air', 'sementara', 'disetro', 'baru', 'utara', '1', 'tetap', 'harus', 'pake', 'pompa', 'air', 'padahal', 'kita', 'tahu', 'dari', 'dulu', 'kecamatan', 'tambaksari', 'adalah', 'kawasan', 'yang', 'memiliki', 'kemiskinan', 'paling', 'tinggi', 'kalau', 'mau', 'bantu', 'ya', 'dulukan', 'jangan', 'perumahan2', 'yg', 'besar2', 'yg', 'malah', 'didahulukankapan', 'pdam', 'bisa', 'memenuhi', 'target', 'itu', 'saya', 'siap', 'membantu', 'menganalisa', 'tanpa', 'dibayartolong', 'hubungi', 'saya', 'di', '085105106804terima', 'kasih']"
indrawatisusana,"['air', 'didaerah', 'saya', 'khususnya', 'dukuh', 'pakis', 'kecil', 'sekali', 'bahkan', 'sering', 'tidak', 'mengalir', 'tlng', 'ditinjau']"
subahan_hadi,"['mantap', 'srikandi', 'pdam', 'surabaya']"
vegapradiptya,"['terbaik', 'ancene']"
lalayourbae_,"['selamat', 'hari', 'kartini']"
kharistiano28,"['menyala', 'sista']"
denikurniawatii,"['saingan', 'e', 'lha', 'kok', 'dian', 'sastro']"
widyarigga,"['keren', 'bgt', 'srikandi', 'surya', 'sembada']"
denikurniawatii,['iishhhh']
ronjehhh,"['keren', 'bu', 'deni', 'pak', 'sugeng']"
salimachmadagus,"['my', 'deepest', 'admiration', 'for', 'all', 'my', 'kartinis', 'out', 'there']"
widyarigga,['semangat']
denfadh,"['semangat', 'terus', 'mimin', 'buat', 'kontennya']"
toko_apapun9999,"['call', 'centre', 'ngak', 'bisa', 'di', 'telp']"
wendybukancagur28,"['apa', 'masih', 'belum', 'selesai', 'minn', 'krn', 'belum', 'nyala', 'sampe', 'sekarang']"
liauw_rini,"['sampai', 'sekarang', 'belum', 'nyala', 'airnya', 'min']"
putriyuliant_,"['gunung', 'anyar', 'belum', 'nyala', 'min']"
tata_rizi,"['aku', 'gak', 'mandi', 'hari', 'ini', 'di', 'gunung', 'anyar', 'tengah', 'mati', 'total']"
liauw_rini,"['terimakasih', 'min', 'jam', '1932', 'air', 'sudah', 'nyala', 'meskipun', 'masih', 'kecil', 'dan', 'agak', 'kotor']"
putriyuliant_,"['alhamdulillah', 'sudah', 'kak', 'kisaran', 'jam', '9an', 'malam']"
dian_sirajulmunir,"['owh', 'pantes', 'kok', 'gak', 'keluar', 'ini', 'tadi', 'nyalain', 'air']"
dian_sirajulmunir,"['telat', 'nyimakcoba', 'tau', 'drtd', 'dah', 'menuhin', 'air', 'min']"
yesy_atmaja,"['min', 'sambikerep', 'mati', 'airnya', 'kok', 'gk', 'ada', 'pemberitahuan', 'pagi2', 'pula', 'wktunya', 'masaksekolahkerja']"
mardhairaa_,"['sampe', 'berapa', 'jam', 'ini', 'pemadaman', 'nya']"
redaksi_realita,"['sampe', 'jam', 'berapa', 'ya']"
2ank84,"['kalilom', 'lor', 'indah', 'delima', '3hari', 'ini', 'mli', 'selasa', '15', 'aprilmli', 'pukul', '06000900', 'baru', 'mengalir', 'airnya']"
chandra_kh777,"['sampai', 'hari', 'ini', 'sabtu', 'tgl', '19', 'air', 'di', 'daerah', 'manukan', 'mati', 'tidak', 'menyala', 'klu', 'pun', 'nyala', 'hanya', 'kecil', 'banget', 'banyakan', 'matinya', 'kapan', 'ini', 'nyala', 'normal', 'kembali', 'tolong', 'di', 'pantau', 'daerah', 'manukan', 'belum', 'normal']"
2ank84,"['sudah', 'normal', 'airnya', 'mengalir', 'tgl', '18', 'april', 'bpkibu']"
dzulkifli_azmi,['semangat']
_sibilu_,"['jadi', 'kapan', 'nyala', 'air', 'nya', 'bak', 'mandi', 'dah', 'kosong']"
herupratikto62,"['semangatpdam', 'surya', 'sembada', 'surabaya']"
its_ngejreng,"['sukses', 'wong', 'ayu', 'sayanghumas', 'semakin', 'keren']"
elvi_lana,"['duh', 'gk', 'ada', 'air']"
desytrias16,"['ayo', 'semangat', 'pak', 'pekerja', 'airnya', 'biar', 'cepat', 'keluar']"
tasyachtq,"['min', 'update', 'per', 'sore', 'ini', 'gimana', 'min']"
woodever.id,"['gimana', 'per', 'sore', 'ini', 'kakak']"
celinetahapary1507,"['ayo', 'kpn', 'nyala', 'gunung', 'anyar']"
melinda.maulidyah,"['update', 'progres', 'kira', 'kira', 'selesai', 'hari', 'ini', 'ga', 'ya']"
eko_margen,"['semangat', 'pak']"
rizkya_karimah,['up']
auliwahyufebianti,"['tlfon', 'cs', 'ga', 'bisa', 'wa', 'cs', 'ga', 'ada', 'respon', 'sampai', 'skrg', 'air', 'blm', 'keluarrrrrrrrr']"
agusbudip,"['lama', 'banget']"
agusbudip,"['baik', 'terimakasih']"
dyah_sarie,"['air', 'bak', 'mandi', 'habis', 'kapan', 'ya', 'selesai']"
asad_umar17,"['sampe', 'sekarang', 'masih', 'belum', 'nyala', 'juga', 'untuk', 'area', 'rungkut', 'permai']"
salmasalma_25,"['bu', 'dijalan', 'kupang', 'gunung', 'barat', 'ivada', 'kebocoran', 'pipasudah', 'hampir', '2', 'minggu', 'nggak', 'ada', 'tindakan']"
arzonlinus,"['sampe', 'hari', 'ini', 'masih', 'mati', 'pdam', 'saya', 'di', 'gunung', 'anyar', 'sawah', 'dekat', 'sekolah', 'pelayaran']"
hendro_hawk,"['barokallah', 'teman2', 'semangat', 'sehat', 'selalu']"
aldillaashary,"['kapan', 'yaa', 'seleaainya', 'airnya', 'loo', 'udah', 'gak', 'ada', 'samsek', 'di', 'rumah']"
yohanesebp,"['lek', 'mari', 'nggali', 'iku', 'di', 'dandani', 'seng', 'nggenah', 'min', 'isuk', 'iki', 'akeh', 'korban', 'tibo', 'gara²', 'nutup', 'mu', 'mek', 'nggae', 'lemah', 'nggarai', 'dalane', 'lunyu']"
wajahmenawan123,"['tolong', 'bu', 'suruh', 'suruh', 'bayar', 'hutangnya…', 'buronan', 'pinjol', 'tu', 'dia']"
indriatie,[]
lianalily1708,"['terima', 'kasih']"
aandi105_,"['srby', 'utara', 'udah', '2hari', 'gak', 'nyala', 'airnya']"
krisnaputra9323,"['air', 'pdam', 'di', 'perumahan', 'gunungsari', 'indah', 'bisa', 'mengalir', 'nirmal', 'jam', 'berapa', 'mohon', 'segera', 'direspon', 'terima', 'kasih']"
krisnaputra9323,"['sesuai', 'pemberitahuan', 'proses', 'maksimal', '3', 'jam', 'bagaimana', 'ini']"
krisnaputra9323,"['sampai', 'kapan', 'bisa', 'mengalir', 'secara', 'normal']"
krisnaputra9323,"['sesuaipemberitahuan', 'proses', 'maksimal', '3', 'jam', 'trus', 'sampai', 'kapan', 'visa', 'mengalir', 'secara', 'normal', 'teima', 'kasih']"
krisnaputra9323,"['yang', 'menjawab', 'koq', 'ai']"
krisnaputra9323,"['3', 'jam', 'lagi', 'berarti', 'pkl', '1200', 'mohon', 'diumumkan', 'kembali', 'karena', 'yang', 'terdampak', 'warga', 'banyak', 'orang', 'bukan', 'individu', 'terima', 'kasih']"
akkubenny,"['sama', 'di', 'daerah', 'rusun', 'tanah', 'merah', 'keluar', 'kecil', 'bahkan', 'tidak', 'keluar']"
devi.iriyanti,"['surabaya', 'utara']"
mas.her1,"['ada', 'forum', 'komunikasi', 'pelanggan', 'ya', 'min']"
amanahumma,"['rumah', 'kegiatan', 'anak', 'yatim', 'amanah', 'ummat', 'umi', 'barokah', 'jl', 'mastrip', 'warugunung', 'no', '11', 'rt', '02', 'rw', '03', 'warugunung', 'karangpilang', 'surabaya', 'dan', 'uang', 'bs', 'dtansfer', 'ke', 'bri', '313201008621535', 'an', 'nur', 'barokah', 'konfirmasi', 'wa', '08159939953']"
camreports,"['pak', 'bu', 'ini', 'saya', 'udh', 'telfon', 'berkali', 'kali', 'sibuk', 'terus', 'sampai', 'wa', 'jg', 'ga', 'ada', 'respon', 'gimana', 'ini']"
rkaa.94,"['saya', 'dari', 'hari', 'minggu', 'pengaduan', 'minta', 'teknisi', 'kerumah', 'pipa', 'bocor', 'dari', 'meteran', 'masuk', 'ke', 'dalam', 'rumah', 'gak', 'ada', 'respon', 'di', 'persulit', 'sekali', 'masak', 'kalah', 'sama', 'pelayanan', 'pln', 'sat', 'set', 'min', 'mau', 'marah²', 'lewat', 'call', 'center', 'mba', 'nya', 'cuma', 'iya²', 'doang', 'sekali', 'nya', 'tlp', 'call', 'center', 'berisik', 'cilikan', 'dibilang', 'sini', 'gak', 'jelas', 'suaranya']"
rkaa.94,"['trus', 'fungsi', 'nya', 'apa', 'saya', 'bayar', '200rb', 'ya', 'min', 'sdh', 'saya', 'bayar', 'by', 'gopay']"
rkaa.94,"['kalau', 'suruh', 'panggil', 'tukang', 'sendiri', 'bisa', 'refund', 'dana', 'saya', 'kocak']"
rkaa.94,"['baik', 'bapakibu', 'untuk', 'pergantian', 'stop', 'kran', 'dikenakan', 'biaya', 'rp', '197580', 'pembayaran', 'di', 'indomaret', 'tagihan', 'pdam', 'non', 'air', 'aplikasi', 'gojek', 'gotagihan', 'pdam', 'surabaya', 'non', 'air', 'kode', 'bayar', '2120250400130', 'jangka', 'waktu', 'pekerjaan', '7', 'hari', 'dari', 'pembayaran', 'terimakasih']"
rkaa.94,['sudaaah']
devi2288,[]
rizqiamrii,"['alhmdulillah', 'selamat']"
esuhar1,"['tolong', 'd', 'cek', 'area', 'jemurwonosari', 'pak', 'air', 'kotor', 'pagi', 'siang', 'malam', 'mati', 'jam', '5', 'pagi', 'sudah', 'tidak', 'keluar', 'siang', 'juga', 'kelaur', 'dikit', 'itupun', 'jam10', 'an', 'malam', 'jam7', 'baru', 'keluar', 'itu', 'juga', 'dikit']"
ratihtita_,['whattt']
wahyusobri,"['sukses', 'terus', 'surya', 'sembada']"
irzayoga,"['selamat', 'pdam', 'surya', 'sembada', 'kota', 'surabaya']"
sofiyullahhamzah,['alhamdulillah']
pujianaanin,"['minal', 'aidzin', 'wal', 'faidzin', 'mohon', 'maaf', 'lahir', 'dan', 'batin', 'selamat', 'lebaran', 'ketupat']"
yudhocah0,"['gerak', 'cepat', 'juga', 'donk', 'mengatasi', 'keluhan', 'tagihan', 'yang', 'melonjak', 'tibatiba', 'padahal', 'tiap', 'pagi', 'air', 'pdam', 'pasti', 'mati', 'tidak', 'keluar', 'sama', 'sekali', 'mulai', 'jam', '0600', 'sampai', '12', 'siang', 'baru', 'nyala', 'namun', 'itu', 'pun', 'kecil', 'debitnya', 'dan', 'jam', '1500', 'mati', 'lagi', 'sampai', 'jam', '19', 'malam', 'terus', 'saya', 'ditagih', 'sampai', '2x', 'rata2', 'per', 'bulan']"
adrian_0531,"['debit', 'air', 'kok', 'mengecil', 'di', 'sidosermo', 'cuman', 'netes']"
triambar_26,"['udh', 'bbrp', 'hari', 'ini', 'lho', 'debit', 'air', 'sidosermo', 'pdk', '1a', 'kecil', 'kurasa', 'udh', '3', 'bulan', 'kebelakang', 'ini', 'mengecil', 'lamax', 'tambah', 'kecil', 'tolong', 'donk', 'klo', 'laporan', 'langsung', 'ditindaklanjuti']"
triambar_26,"['sudah', 'teratasi', 'kak', 'terimakasih']"
nikengyna_,"['adu', 'ketika', 'lebaran', 'air', 'di', 'jam', '1613', 'wib', 'itu', 'lancar', 'ya', 'tp', 'skg', 'mulai', 'lagi', 'keluarnya', 'sedikit', 'sekali', 'debitnya', 'mengecil', 'daerah', 'tapak', 'siring']"
bgasdio,"['halo', 'min', 'di', 'area', 'kedurus', 'dan', 'sekitarnya', 'kok', 'airnya', 'mati', 'total', 'ya', 'apakah', 'ada', 'gangguan', 'pekerjaan']"
leonidas_alexanders_strongest,"['min', 's']"
leonidas_alexanders_strongest,"['min', 'daerah', 'mojo', 'gak', 'dialiri', 'air', 'ta', 'kok', 'gada', 'air', 'mengalir']"
leonidas_alexanders_strongest,"['ditindak', 'lanjuti', 'ya', 'daripada', 'saya', 'datangi', 'kantornya']"
dedyagungvidianto_,"['min', 'kenapa', 'udah', '4harian', 'kok', 'air', 'tidak', 'bisa', 'naek', 'ke', 'torn', 'atas', 'ya', 'apakah', 'lg', 'ada', 'perbaikan', 'kayak', 'kapan', 'hari']"
leonidas_alexanders_strongest,"['pagi', 'sampai', 'air', 'kran', 'tidak', 'keluar']"
amarrafiwi,"['siwalankerto', 'gak', 'metu', 'blass']"
anjastriprakoso,"['ini', 'daerah', 'dinoyo', 'kok', 'mati', 'airnya']"
mas.her1,"['kapan', 'pengundian', 'nya', 'min']"
triambar_26,"['ini', 'sidosermo', 'pdk', '1a', 'kok', 'airnya', 'ditempat', 'saya', 'mengecil', 'ya', 'kak']"
widyarigga,"['masya', 'allah', 'tabarakallah', 'selamat', 'menunaikan', 'ibadah', 'umroh', 'semoga', 'allah', 'melindungi', 'dan', 'perjalanannya', 'lancar']"
thurturuu,"['ini', 'daerah', 'sidotopo', 'kok', 'air', 'tidak', 'eluar', 'sudah', '2', 'hari', 'dirumah', 'saya', 'telpo', 'cs', 'dan', 'lapor', 'di', 'cis', 'gak', 'ada', 'respon', 'sampi', 'sekarang', 'payah']"
thurturuu,"['sudah', 'di', 'dm', 'tolong', 'dibaca']"
sania.idris.56,"['subhanallah', 'kapan', 'yo', 'aq', 'iso', 'oleh', 'koyo', 'iku']"
arif_murdhiyanto,"['banjarsari', 'cerme', '3', 'hari', 'pdam', 'mati']"
pt_perma_alir_indonesia,[]
kharistiano28,"['semangat', 'bagi', 'para', 'petugas', 'piket', 'kalian', 'luar', 'biasa']"
erriopeter,"['pwt', 'selalu', 'siaga', 'melayani', 'pelanggan', 'tercinta', 'pak', 'kharis']"
hendrays,"['tagihan', 'bulan', 'maret', 'kok', 'naik', 'kenapa', 'ya', 'min']"
hendrays,"['sudah', 'ka']"
nafisah_qairina_zafirah,"['air', 'pdam', 'nya', 'skarang', 'kok', 'bau', 'pemutih', 'ya']"
tiara_180319,"['mau', 'tanyapengajuan', 'pemasangan', 'tgl', '19', 'maret', 'sudah', 'disurveytapi', 'sampai', 'sekarang', 'tidak', 'ada', 'kejelasandipasang', 'kapan', 'nya']"
sekian_stoore,"['aku', 'pasang', 'gak', 'di', 'pasang', 'pasang', 'sampek', 'skrg']"
mbembis92,"['semangat', 'pejuang', 'jogo', 'banyu', 'pam', 'surabaya', 'mungkin', 'petugas', 'operator', 'tdk', 'mampu', 'bersilaturahmi', 'ke', 'keluarga', 'tp', 'air', 'yg', 'panjenengan', 'produksi', 'sudah', 'bersilaturahmi', 'ke', 'seluruh', 'warga', 'surabaya', 'sehat', 'selalu', 'bapak2']"
kharistiano28,"['selamat', 'bertugas', 'kawan2', 'yg', 'sedang', 'piket', 'jaga', 'kalian', 'luar', 'biasa']"
harijantoteguh,"['semangat', 'semoga', 'diberikan', 'kesehatan', 'dan', 'berkah', 'buat', 'keluarga']"
damaxrif,"['masya', 'allah', 'tabarakallah', 'sehat', 'slalu', 'bapak2', 'pam', 'surya', 'sembada']"
rafiiisaputraa,"['semangat', 'para', 'pejuang']"
imok_rifai,"['selamat', 'bertugas', 'kawankawan', 'semoga', 'diberikan', 'kesehatan', 'dan', 'keberkahansemangat']"
mbembis92,"['sami2', 'mimin', 'tim', 'humas']"
nuri1huda,"['pernah', 'diposisi', 'ini', 'semoga', 'seluruh', 'petugas', 'yg', 'masih', 'bekerja', 'di', 'hari', 'raya', 'diberikan', 'kesehatan', 'kelancaran', 'pekerjaannya', 'dan', 'bisa', 'segera', 'kembali', 'berkumpul', 'bersama', 'keluarga', 'minal', 'aidzin', 'walfaizin']"
_bangdana_,"['masha', 'allah', 'luar', 'biasa', 'semoga', 'sehat', 'selalu']"
perumdamkotamadiun,"['semangat', 'sobat', 'ledeng', 'wopyu']"
glenyusufsulaiman,"['mengorbankan', 'waktu', 'berharga', 'bersama', 'keluarga', 'demi', 'memastikan', 'kebutuhan', 'air', 'bersih', 'masyarakat', 'tetap', 'terpenuhi', 'terima', 'kasih', 'atas', 'pengorbanan', 'dan', 'kerja', 'keras', 'bapak2', 'petugas', 'sekalian', 'semoga', 'kebaikan', 'ini', 'membawa', 'berkah', 'berlimpah', 'bagi', 'bapak2', 'petugas', 'dan', 'keluarga', 'selamat', 'idul', 'fitri', 'mohon', 'maaf', 'lahir', 'dan', 'batin']"
rizqiamrii,"['keren', 'sekali']"
salimachmadagus,"['tetap', 'semangat', 'kawan2', 'satria', 'surya', 'sembada', '…', 'semoga', 'alloh', 'swt', 'senantiasa', 'melindungi', 'dan', 'menjaga', 'keluarga', 'kita', 'amin', 'yaa', 'robbal', '’', 'alamiin']"
lalayourbae_,"['seger', 'nih']"
auky.ra,['enaknyaa']
nuruul_____,"['min', 'wiyung', 'gg', '1', 'airnya', 'kok', 'mati', 'ya']"
riiadini,"['halo', 'min', 'gunungsari', '2', 'airnya', 'mati', 'dan', 'tdk', 'ada', 'info', 'pemberitahuan', 'tolong', 'dinyalakan', 'kembali', 'plis', 'sdh', 'pengaduan', 'via', 'wa', 'juga']"
shadrinarizkyamel,"['min', 'area', 'kodam', 'air', 'nya', 'kok', 'mati', 'tidak', 'ada', 'info', 'pemberitahuan']"
udangbalon__,"['gimana', 'ini', 'air', 'mati', 'kok', 'gk', 'ada', 'pemberitahuan', 'sama', 'sekali']"
dinar.isfa,"['min', 'kodam', 'mati', 'min', 'airnya', 'min', 'bisa2nya', 'bikin', 'gebrakan', 'tanpa', 'pemberitahuan']"
omah_umique,"['tidak', 'ad', 'info', 'air', 'pdam', 'mati', 'area', 'sawunggaling', 'min']"
omah_umique,"['semoga', 'aliran', 'pdam', 'segera', 'normal']"
reni_alifatul,"['mohon', 'bantuannya', 'untuk', 'pembatalan', 'pengaduan', 'pdam', 'karena', 'sudah', 'teratasi', 'bagaimana', 'ya']"
reni_alifatul,"['mohon', 'berkenan', 'buka', 'dm', 'saya']"
ayyusahfitri,"['ini', 'kenapa', 'air', 'mati', 'total', 'ya', 'tidak', 'ada', 'info', 'dan', 'penjelasan', 'dari', 'pdam', 'sebelumnya']"
sukasuka.gvv,"['min', 'kok', 'gaonok', 'pemberitahuan', 'kodam', 'mati', 'total']"
deri9595,"['kapan', 'min', 'air', 'di', 'gunung', 'sari', 'hidup', 'udah', '7', 'jam', 'ini', 'matinya']"
nadhifafi,"['belom', 'selesai', 'ya', 'min', 'perbaikannya', 'tidak', 'ada', 'info', 'sebelumnya', 'tiba2', 'mati', 'pas', 'ngga', 'ada', 'tandon', 'air']"
omah_umique,"['terimakasih', 'perhatiannya']"
luche_4jc,"['pdam', 'tolong', 'ya', 'perumahan', 'kencana', 'residence', 'kalilom', 'lor', 'indahklo', 'siang', 'airnya', 'tdk', 'pernah', 'nyalamalam', 'nyala', 'di', 'atas', 'jam', '9', 'tp', 'ini', 'tdk', 'nyalagimana', 'mau', 'kerjaasaya', 'sdh', 'tahan2', 'dr', 'lama', 'ini']"
widyarigga,"['masya', 'allah']"
widyarigga,"['sama2', 'kakmin', 'semangat']"
damaxrif,"['masya', 'allah', 'tabarakallah']"
bukanbahanbakarneraka,"['wah', 'maaf', 'pak', 'tpp', 'pppk', 'nakes', 'surabaya', 'kok', 'belum', 'ada', 'kejelasan', 'katanya', 'naik', '50']"
choiriyah.wiwik,['sip']
fananiachmad252,"['dijojoran', 'pdamx', 'kalau', 'sama', 'yg', 'pakai', 'sanyoodirumah', 'klre', 'lak', 'malam', 'aja', 'air', 'pdamx']"
azteria_2000,"['banyune', 'gak', 'isok', 'diombe', 'pak', 'lek']"
naga_jusvianto,['gedobros']
rathome7,"['memang', 'tpp', 'nya', 'brp', 'kak', 'bukannya', 'pak', 'pada', 'tahun', '2024', 'punya', 'wacana', 'untuk', 'menaikkan', 'tpp', 'p3k', 'menjadi', '6juta', 'belum', 'terealisasikah', 'sumber', 'tribun', 'jatim']"
haris.erlangga,"['murah', 'tapi', 'butek', 'kotor']"
mas_anis_75,"['banyune', 'butek', 'didaerah', 'tempel', 'sukorejo', 'ivpak']"
novian_hari_saputra,"['assalamualaikum', 'salam', 'nusantara', 'moga', 'umur', 'panjang', 'ya', 'dan', 'bermanfaat', 'bagi', 'masyarakat', 'ya']"
raflywigusta,"['air', 'gak', 'keluar', 'pada', 'jam2', 'sibuk', 'setelah', 'komplain', 'k', 'pdam', 'didapatkan', 'solusinya', 'disuruh', 'pasang', 'pompa', 'air', 'atau', 'pasang', 'tandon']"
bukanbahanbakarneraka,"['nah', 'tepat', 'sekali', 'janji', 'tersebut', 'molor', 'sampe', 'sekarang', 'tapi', 'kawan', 'kita', 'pppk', 'surabaya', 'merasa', 'takut', 'bersuara']"
d3vil_casper,"['klo', 'bisa', 'lebih', 'murah', 'lagi', 'tarif', 'pdam', 'bisa', 'diturunkan', 'lagi', 'donk']"
raflywigusta,"['kapan', 'hari', 'sudah', 'di', 'kunjungi', 'dan', 'dikasih', 'solusi', 'yaitu', 'pasang', 'pompa', 'air', 'atau', 'pasang', 'tandon', 'bukan', 'kecepatan', 'air', 'dr', 'pdam', 'nya', 'yg', 'di', 'maksimalkan']"
fananiachmad252,"['siapp', 'soale', 'dirumah', 'kalah', 'sama', 'seng', 'pakai', 'sanyoo', 'keluar', 'malam', 'ajamakasih', 'responnya']"
muchlis_godze,"['kenyataan', 'nya', '0']"
selecia1k,"['thr', 'nakes', 'gimana', 'cair', 'full', 'gaji']"
puriniken,"['maaf', 'pak', 'di', 'tempat', 'kami', 'daerah', 'surabaya', 'barat', 'airnya', 'kotor', 'nyalanya', 'jugaa', 'gak', 'deras', 'mana', 'bayarnya', 'mahal', 'kalau', 'bisa', 'di', 'turunkan', 'tarif', 'air', 'pdam']"
bukanbahanbakarneraka,"['kabar', 'nya', 'tidak', 'kabar', 'lain', 'dari', 'mereka', 'juga', 'sama', 'kasihan', 'nakes', 'surabaya', 'kasihan', 'pppk', 'nakes']"
aini_al_aydrus,"['air', 'gk', 'kluar', 'cuma', 'kluar', 'malam', 'ajja', 'hbis', 'isak', 'sampe', 'jam', '3']"
aini_al_aydrus,"['harga', 'naik', 'di', 'saya']"
teamonglovely,"['karangrejo', 'air', 'pdam', 'nya', 'byk', 'pasirnya', 'sdh', 'laporan', 'bolak', 'balik']"
yatunmurti,"['d', 'tempat', 'daerah', 'kedurus', 'air', 'nya', 'kotor', 'pak']"
yon_andokoy,"['idem', 'puol', 'sak', 'pol2e', 'bumdes', 'diberdayakan', 'bukan', 'dimanfaatkan', 'sesaat', 'dan', 'sepihak', 'salam', 'nuswantoro', 'jaya', 'dan', 'salam', 'ttg', 'hal', 'lainnya']"
hendra.iswahyudi,"['apanya', 'yg', 'murah', 'masuk', 'gang', 'kecil', 'aja', 'tarifnya', '100', 'ribu', 'keatas', 'buktinya', 'punya', 'saya', 'sendiri']"
hendra.iswahyudi,"['coba', 'di', 'balas', 'dan', 'di', 'surfy', 'yaa']"
hend.raboisbro,"['banyak', 'yang', 'ngomong', 'gitu', 'ini', 'alamatnya', 'gubeng', 'kertajaya', '1', 'no', '45', 'masuk', 'gang', 'kecil', 'maaf', 'orangnya', 'gak', 'tau', 'aplikasi', 'cis', 'lah', 'apalah']"
hend.raboisbro,"['ini', 'nomer', 'pelangganya', '2066103', 'rumah', 'kecil', 'listrik', 'aja', '450']"
anggersutisna,"['pak', 'bapa', 'saya', 'mohon', 'perrolongan', 'bapak', 'usia', '49', 'thn', 'berikanlah', 'saya', 'pekerjaan', 'demi', 'utk', 'keluarga', 'warga', 'surabaya']"
amilia.ila,"['ga', 'bisa', 'bayar', 'online']"
mjannah78,"['punya', 'saya', 'jg', 'naik', 'drastis']"
mjannah78,"['bener', 'pakpunya', 'saya', 'jg', 'naik', 'drastis', 'pdahal', 'di', 'dlm', 'gg', 'kecil', 'l']"
amilia.ila,['2031362']
anekasecondsby,"['pdam', 'sing', 'air', 'diminum', 'opo', 'rek', 'ono', 'sing', 'doyan', 'ta', 'ngombe', 'air', 'pdam', 'digodok', 'wae', 'rasane', 'ane', 'iya', 'nek', 'jaman', '90', 'an', 'jik', 'kolu', 'diombe', 'saiki', 'gae', 'adus', 'wae', 'butek']"
yayuk_kariyati,"['sama', 'punyaku', 'juga', '100', 'keatas', 'padahal', 'di', 'dalam', 'gang']"
greenhouse_my_darling,"['air', 'pdam', 'murah', 'tapi', 'butekpercuma', 'cak']"
maulanabundarizky,"['benar', 'samad', 'tempat', 'ku', 'daerah', 'dukuh', 'setro', 'gang', 'e', 'sempit', 'tiba2', 'tarif', 'naik', 'bayar', 'hampir', '100blnpernah', 'nanya', 'ke', 'cs', 'alasannya', 'luas', 'rumahlah', 'tonggo2', 'sebelah', 'omah', 'sing', 'luas', 'e', 'tanah', 'podo', 'tarif', 'e', 'yo', 'sek', 'tetepkocak', 'ancene']"
celiasiura,"['best', 'leader']"
johan_arvian77,"['menyala', 'cak']"
js_aa0h,"['kapan', 'pdam', 'surabaya', 'ada', 'diskon', 'tarif', 'seperti', 'pln', 'dan', 'operator', 'seluler', 'pak']"
mohamad_ganesha,['top']
