post_id,comment_id,created_at,username,text,parent_comment_id
DPiRgn6k9BI,18077195474121687,2025-10-11 21:21:09 WIB,sawnturns,kebraonnn mati airnyaa pakkk,
DFKccJJPeW_,17907711219253922,2025-10-10 06:33:39 WIB,primadia_amanda,pagi ini air daerah karah mati tidak ada pemberitahuan ada apa ya ini ?,
DFKccJJPeW_,18065666348584248,2025-10-14 15:51:52 WIB,jastipbahagia,air hampir mati tiap hari gimana ini min,
DFKccJJPeW_,18530498074034799,2025-10-15 00:50:45 WIB,shafaardini,"air mati lagi di wisma pagesangan tidak ada pemberitahuan tiba"" mati",
DFKccJJPeW_,18161801212382874,2025-10-19 10:36:23 WIB,kris_acenk,barusan rumah saya didatangi yg mengaku petugas pdam dengan tujuan mengganti meteran pdam saat saya tanya surat tugas beliau tidak bisaenunjukkan saya sempat foto orange dan kendaraan  setalah tidak bisa menunjukkan surat tugas mereka langsung pergi dengan alasan terlalu rumit bongkarnya,
DFKccJJPeW_,18362591113088101,2025-10-22 19:36:51 WIB,putridaniarw,"simo tambaan tadi barusan mertua didatangi petugas abal"" disuruh ganti meteran",
DFKccJJPeW_,18152952691413527,2025-10-27 13:59:14 WIB,astrichanteratai,kenapa meteran masih ok walaupun lama kenapa harus ganti segala?,
DFKccJJPeW_,18004085945660097,2025-10-27 20:47:59 WIB,ekypradana,tidak ada petugas yg datang buat cek meteran nanti selalu yg disalahkan pelanggan,
DO-Gmy3k2oA,18226069282306472,2025-10-02 05:37:18 WIB,fredlina,mohon dibantu pak pdam wilayah kebraon dst air tidak mengalir dari tgl 1102025 jm 8 malam smpe pagi ini dan itu sering terjadi tidak ada kompensasi air tangki,
DO-Gmy3k2oA,18058748864163076,2025-10-02 06:33:50 WIB,pundirama,wayahe budal sekolah budal kerjo malah pdam mati daerah pondok maritim kelbalas klumprik,
DO-Gmy3k2oA,18286851640281675,2025-10-03 05:53:18 WIB,yusuf_yogadinata,daerah gading karya ben isuk mati banyune sore yo mati,
DO-Gmy3k2oA,17981748800866543,2025-10-03 05:54:04 WIB,yusuf_yogadinata,wes sak ulan lebih ngono terus,
